name,cuisine,instructions,prep_minutes,calories_per_serving,servings,ingredients,diet_tags,health_notes
Chinese Wok 08,Chinese,High heat stir-fry wok 8 with soy aromatics and vegetables.,18,332,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 09,Chinese,High heat stir-fry wok 9 with soy aromatics and vegetables.,19,336,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 10,Chinese,High heat stir-fry wok 10 with soy aromatics and vegetables.,20,340,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 11,Chinese,High heat stir-fry wok 11 with soy aromatics and vegetables.,21,344,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 12,Chinese,High heat stir-fry wok 12 with soy aromatics and vegetables.,22,348,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 13,Chinese,High heat stir-fry wok 13 with soy aromatics and vegetables.,23,352,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 14,Chinese,High heat stir-fry wok 14 with soy aromatics and vegetables.,24,356,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 15,Chinese,High heat stir-fry wok 15 with soy aromatics and vegetables.,25,360,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 16,Chinese,High heat stir-fry wok 16 with soy aromatics and vegetables.,18,364,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 17,Chinese,High heat stir-fry wok 17 with soy aromatics and vegetables.,19,368,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 18,Chinese,High heat stir-fry wok 18 with soy aromatics and vegetables.,20,372,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 19,Chinese,High heat stir-fry wok 19 with soy aromatics and vegetables.,21,376,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Chinese Wok 20,Chinese,High heat stir-fry wok 20 with soy aromatics and vegetables.,22,380,4,soy sauce:2:tbsp;ginger:1:tbsp;vegetables:350:g;oil:2:tbsp,vegetarian|vegan,high-fiber
Middle Eastern Mezze 01,Middle Eastern,Prepare mezze 1 with legumes herbs lemon and olive oil.,21,266,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:16:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 02,Middle Eastern,Prepare mezze 2 with legumes herbs lemon and olive oil.,22,272,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:17:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 03,Middle Eastern,Prepare mezze 3 with legumes herbs lemon and olive oil.,23,278,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:18:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 04,Middle Eastern,Prepare mezze 4 with legumes herbs lemon and olive oil.,24,284,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:19:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 05,Middle Eastern,Prepare mezze 5 with legumes herbs lemon and olive oil.,25,290,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:20:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 06,Middle Eastern,Prepare mezze 6 with legumes herbs lemon and olive oil.,26,296,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:21:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 07,Middle Eastern,Prepare mezze 7 with legumes herbs lemon and olive oil.,27,302,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:22:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 08,Middle Eastern,Prepare mezze 8 with legumes herbs lemon and olive oil.,28,308,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:23:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 09,Middle Eastern,Prepare mezze 9 with legumes herbs lemon and olive oil.,29,314,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:24:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 10,Middle Eastern,Prepare mezze 10 with legumes herbs lemon and olive oil.,30,320,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:25:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 11,Middle Eastern,Prepare mezze 11 with legumes herbs lemon and olive oil.,31,326,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:26:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 12,Middle Eastern,Prepare mezze 12 with legumes herbs lemon and olive oil.,32,332,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:27:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 13,Middle Eastern,Prepare mezze 13 with legumes herbs lemon and olive oil.,33,338,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:28:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 14,Middle Eastern,Prepare mezze 14 with legumes herbs lemon and olive oil.,34,344,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:29:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 15,Middle Eastern,Prepare mezze 15 with legumes herbs lemon and olive oil.,20,350,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:15:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 16,Middle Eastern,Prepare mezze 16 with legumes herbs lemon and olive oil.,21,356,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:16:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 17,Middle Eastern,Prepare mezze 17 with legumes herbs lemon and olive oil.,22,362,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:17:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 18,Middle Eastern,Prepare mezze 18 with legumes herbs lemon and olive oil.,23,368,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:18:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 19,Middle Eastern,Prepare mezze 19 with legumes herbs lemon and olive oil.,24,264,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:19:g,vegetarian|vegan|gluten-free,heart-healthy
Middle Eastern Mezze 20,Middle Eastern,Prepare mezze 20 with legumes herbs lemon and olive oil.,25,270,4,chickpeas:200:g;tahini:2:tbsp;lemon:1:each;parsley:20:g,vegetarian|vegan|gluten-free,heart-healthy
